iter	Passed	Remaining
871	47208	6929
872	47266	6876
873	47323	6822
874	47407	6772
875	47463	6718
876	47521	6664
877	47582	6611
878	47645	6558
879	47700	6504
880	47759	6451
881	47815	6397
882	47871	6343
883	47927	6289
884	47988	6235
885	48062	6184
886	48119	6130
887	48176	6076
888	48243	6023
889	48321	5972
890	48385	5919
891	48444	5865
892	48501	5811
893	48563	5758
894	48633	5705
895	48708	5653
896	48772	5600
897	48828	5546
898	48884	5492
899	48962	5440
900	49027	5387
901	49089	5333
902	49153	5280
903	49211	5226
904	49267	5171
905	49322	5117
906	49391	5064
907	49451	5010
908	49507	4956
909	49565	4902
910	49632	4848
911	49691	4794
912	49746	4740
913	49803	4686
914	49880	4633
915	49945	4580
916	50008	4526
917	50071	4472
918	50162	4421
919	50223	4367
920	50286	4313
921	50349	4259
922	50419	4206
923	50483	4152
924	50539	4097
925	50596	4043
926	50653	3988
927	50680	3932
928	50736	3877
929	50791	3823
930	50846	3768
931	50904	3714
932	50960	3659
933	51015	3604
934	51074	3550
935	51144	3497
936	51203	3442
937	51259	3388
938	51315	3333
939	51371	3279
940	51429	3224
941	51483	3169
942	51538	3115
943	51598	3060
944	51667	3007
945	51723	2952
946	51779	2897
947	51838	2843
948	51892	2788
949	51947	2734
950	52003	2679
951	52069	2625
952	52125	2570
953	52180	2516
954	52235	2461
955	52290	2406
956	52346	2352
957	52402	2297
958	52467	2243
959	52533	2188
960	52590	2134
961	52646	2079
962	52710	2025
963	52781	1971
964	52842	1916
965	52900	1861
966	52960	1807
967	53025	1752
968	53080	1698
969	53139	1643
970	53202	1588
971	53266	1534
972	53329	1479
973	53394	1425
974	53461	1370
975	53517	1316
976	53576	1261
977	53633	1206
978	53716	1152
979	53773	1097
980	53830	1042
981	53886	987
982	53946	932
983	54008	878
984	54063	823
985	54118	768
986	54174	713
987	54248	658
988	54303	603
989	54357	549
990	54414	494
991	54485	439
992	54543	384
993	54603	329
994	54659	274
995	54715	219
996	54771	164
997	54831	109
998	54893	54
999	54956	0
