iter	Passed	Remaining
848	44057	7835
849	44109	7783
850	44160	7732
851	44212	7680
852	44262	7627
853	44314	7575
854	44365	7524
855	44418	7472
856	44469	7420
857	44520	7368
858	44572	7316
859	44625	7264
860	44676	7212
861	44728	7160
862	44779	7108
863	44830	7056
864	44880	7004
865	44932	6952
866	44982	6900
867	45033	6848
868	45084	6796
869	45136	6744
870	45187	6692
871	45239	6640
872	45290	6588
873	45342	6536
874	45395	6485
875	45446	6433
876	45497	6381
877	45549	6329
878	45600	6277
879	45652	6225
880	45703	6173
881	45755	6121
882	45805	6069
883	45857	6017
884	45908	5965
885	45959	5913
886	46011	5861
887	46062	5809
888	46112	5757
889	46164	5705
890	46215	5653
891	46266	5601
892	46316	5549
893	46370	5498
894	46421	5446
895	46472	5394
896	46523	5342
897	46574	5290
898	46625	5238
899	46677	5186
900	46728	5134
901	46779	5082
902	46830	5030
903	46882	4978
904	46933	4926
905	46984	4874
906	47035	4822
907	47087	4770
908	47138	4719
909	47189	4667
910	47240	4615
911	47291	4563
912	47342	4511
913	47397	4459
914	47449	4407
915	47501	4355
916	47552	4304
917	47603	4252
918	47655	4200
919	47707	4148
920	47758	4096
921	47809	4044
922	47860	3992
923	47912	3940
924	47964	3889
925	48016	3837
926	48067	3785
927	48085	3730
928	48137	3678
929	48188	3627
930	48239	3575
931	48290	3523
932	48342	3471
933	48395	3419
934	48447	3367
935	48499	3316
936	48550	3264
937	48601	3212
938	48652	3160
939	48704	3108
940	48755	3056
941	48807	3005
942	48858	2953
943	48909	2901
944	48961	2849
945	49012	2797
946	49064	2745
947	49115	2694
948	49165	2642
949	49216	2590
950	49267	2538
951	49319	2486
952	49372	2434
953	49424	2383
954	49476	2331
955	49527	2279
956	49579	2227
957	49630	2175
958	49681	2124
959	49732	2072
960	49783	2020
961	49834	1968
962	49885	1916
963	49936	1864
964	49987	1813
965	50039	1761
966	50090	1709
967	50142	1657
968	50193	1605
969	50244	1553
970	50295	1502
971	50348	1450
972	50399	1398
973	50450	1346
974	50501	1294
975	50553	1243
976	50605	1191
977	50656	1139
978	50707	1087
979	50758	1035
980	50810	984
981	50861	932
982	50912	880
983	50963	828
984	51015	776
985	51066	725
986	51117	673
987	51168	621
988	51220	569
989	51272	517
990	51323	466
991	51376	414
992	51426	362
993	51478	310
994	51529	258
995	51580	207
996	51632	155
997	51683	103
998	51733	51
999	51786	0
